Brand,Ship Code,Ship Name,Deck Code,Deck Name,Deck Number
R,ID,INDEPENDENCE OF THE SEAS,05,DECK FIVE,5
R,ID,INDEPENDENCE OF THE SEAS,06,DECK SIX,6
R,ID,INDEPENDENCE OF THE SEAS,08,DECK EIGHT,8
R,ID,INDEPENDENCE OF THE SEAS,03,DECK THREE,3
R,ID,INDEPENDENCE OF THE SEAS,10,DECK TEN,10
R,ID,INDEPENDENCE OF THE SEAS,14,DECK FOURTEEN,14
R,ID,INDEPENDENCE OF THE SEAS,13,DECK THIRTEEN,13
R,ID,INDEPENDENCE OF THE SEAS,15,DECK FIFTEEN,15
R,ID,INDEPENDENCE OF THE SEAS,11,DECK ELEVEN,11
R,ID,INDEPENDENCE OF THE SEAS,12,DECK TWELVE,12
R,ID,INDEPENDENCE OF THE SEAS,09,DECK NINE,9
R,JW,JEWEL OF THE SEAS,02,DECK TWO,2
R,JW,JEWEL OF THE SEAS,07,DECK SEVEN,7
R,JW,JEWEL OF THE SEAS,03,DECK THREE,3
R,JW,JEWEL OF THE SEAS,04,DECK FOUR,4
R,JW,JEWEL OF THE SEAS,05,DECK FIVE,5
R,JW,JEWEL OF THE SEAS,06,DECK SIX,6
R,JW,JEWEL OF THE SEAS,08,DECK EIGHT,8
R,JW,JEWEL OF THE SEAS,10,DECK TEN,10
R,JW,JEWEL OF THE SEAS,11,DECK ELEVEN,11
R,JW,JEWEL OF THE SEAS,12,DECK TWELVE,12
R,JW,JEWEL OF THE SEAS,13,DECK THIRTEEN,13
R,JW,JEWEL OF THE SEAS,09,DECK NINE,9
R,LB,LIBERTY OF THE SEAS,06,DECK SIX,6
R,LB,LIBERTY OF THE SEAS,05,DECK FIVE,5
R,LB,LIBERTY OF THE SEAS,02,DECK TWO,2
R,LB,LIBERTY OF THE SEAS,03,DECK THREE,3
R,LB,LIBERTY OF THE SEAS,07,DECK SEVEN,7
R,LB,LIBERTY OF THE SEAS,04,DECK FOUR,4
R,LB,LIBERTY OF THE SEAS,08,DECK EIGHT,8
R,LB,LIBERTY OF THE SEAS,15,DECK FIFTEEN,15
R,LB,LIBERTY OF THE SEAS,10,DECK TEN,10
R,LB,LIBERTY OF THE SEAS,14,DECK FOURTEEN,14
R,LB,LIBERTY OF THE SEAS,13,DECK THIRTEEN,13
R,LB,LIBERTY OF THE SEAS,09,DECK NINE,9
R,LB,LIBERTY OF THE SEAS,11,DECK ELEVEN,11
R,LB,LIBERTY OF THE SEAS,12,DECK TWELVE,12
R,MA,MARINER OF THE SEAS,07,DECK SEVEN,7
R,MA,MARINER OF THE SEAS,03,DECK THREE,3
R,MA,MARINER OF THE SEAS,04,DECK FOUR,4
R,MA,MARINER OF THE SEAS,05,DECK FIVE,5
R,MA,MARINER OF THE SEAS,06,DECK SIX,6
R,MA,MARINER OF THE SEAS,02,DECK TWO,2
R,MA,MARINER OF THE SEAS,08,DECK EIGHT,8
R,MA,MARINER OF THE SEAS,10,DECK TEN,10
R,MA,MARINER OF THE SEAS,11,DECK ELEVEN,11
R,MA,MARINER OF THE SEAS,12,DECK TWELVE,12
R,MA,MARINER OF THE SEAS,13,DECK THIRTEEN,13
R,MA,MARINER OF THE SEAS,14,DECK FOURTEEN,14
R,MA,MARINER OF THE SEAS,15,DECK FIFTEEN,15
R,MA,MARINER OF THE SEAS,09,DECK NINE,9
R,NC,NEXT CRUISE PROGRAM, 2,DECK FIFTEEN,15
R,NV,NAVIGATOR OF THE SEAS,06,DECK SIX,6
R,NV,NAVIGATOR OF THE SEAS,05,DECK FIVE,5
R,NV,NAVIGATOR OF THE SEAS,07,DECK SEVEN,7
R,NV,NAVIGATOR OF THE SEAS,02,DECK TWO,2
R,NV,NAVIGATOR OF THE SEAS,04,DECK FOUR,4
R,NV,NAVIGATOR OF THE SEAS,08,DECK EIGHT,8
R,NV,NAVIGATOR OF THE SEAS,03,DECK THREE,3
R,NV,NAVIGATOR OF THE SEAS,10,DECK TEN,10
R,NV,NAVIGATOR OF THE SEAS,09,DECK NINE,9
R,NV,NAVIGATOR OF THE SEAS,14,DECK FOURTEEN,14
R,NV,NAVIGATOR OF THE SEAS,15,DECK FIFTEEN,15
R,NV,NAVIGATOR OF THE SEAS,12,DECK TWELVE,12
R,NV,NAVIGATOR OF THE SEAS,11,DECK ELEVEN,11
R,NV,NAVIGATOR OF THE SEAS,13,DECK THIRTEEN,13
R,OA,OASIS OF THE SEAS,09,DECK NINE,9
R,OA,OASIS OF THE SEAS,04,DECK FOUR,4
R,OA,OASIS OF THE SEAS,05,DECK FIVE,5
R,OA,OASIS OF THE SEAS,06,DECK SIX,6
R,OA,OASIS OF THE SEAS,07,DECK SEVEN,7
R,OA,OASIS OF THE SEAS,08,DECK EIGHT,8
R,OA,OASIS OF THE SEAS,10,DECK TEN,10
R,OA,OASIS OF THE SEAS,03,DECK THREE,3
R,OA,OASIS OF THE SEAS,12,DECK TWELVE,12
R,OA,OASIS OF THE SEAS,18,DECK EIGHTEEN,18
R,OA,OASIS OF THE SEAS,17,DECK SEVENTEEN,17
R,OA,OASIS OF THE SEAS,11,DECK ELEVEN,11
R,OA,OASIS OF THE SEAS,15,DECK FIFTEEN,15
R,OA,OASIS OF THE SEAS,14,DECK FOURTEEN,14
R,OA,OASIS OF THE SEAS,16,DECK SIXTEEN,16
R,OV,OVATION OF THE SEAS,09,DECK NINE,9
R,OV,OVATION OF THE SEAS,04,DECK FOUR,4
R,OV,OVATION OF THE SEAS,05,DECK FIVE,5
R,OV,OVATION OF THE SEAS,06,DECK SIX,6
